Computer Name,IP Address,Operating System,Provider Type,Count
CMRLPT21088.sabc.cm,"fe80::2d2d:c734:36be:3d8
192.168.24.53",Windows 10 Entreprise,Tanium Client,1
CMRUCT25006.sabc.cm,"fe80::4dc9:3853:1376:fff7
10.96.60.14",Windows 10 Entreprise,Tanium Client,1
CMRUCT23237.sabc.cm,"fe80::cae8:ebba:7f04:b76e
10.96.28.13",Windows 10 Entreprise,Tanium Client,1
CMRLPT22080.sabc.cm,"fe80::7d03:7874:9099:25ff
10.102.2.55",Windows 10 Entreprise,Tanium Client,1
BALIGMAO001.sabc.cm,"::1
10.100.1.106",Windows Server 2016 Standard,Tanium Client,1
CMRLPT22055.sabc.cm,"fe80::f5c3:b682:f226:6723
10.102.34.18",Windows 10 Entreprise,Tanium Client,1
CMRLPT23230.sabc.cm,"fe80::dfb8:6c5c:7895:7c3b
10.96.113.27",Windows 10 Entreprise,Tanium Client,1
CMRUCT23084.sabc.cm,"fe80::84c7:5aae:442:afbb
10.96.70.51",Windows 10 Entreprise,Tanium Client,1
CMRLPT21066.sabc.cm,"fe80::7cc8:1d91:de52:9b9e
10.102.34.76",Windows 10 Entreprise,Tanium Client,1
CMRLPT22032.sabc.cm,"fe80::70cc:e2c:116a:699c
10.101.1.194",Windows 10 Entreprise,Tanium Client,1
CMRUCT22151.sabc.cm,"fe80::f37c:559:cfb7:e073
10.102.9.132",Windows 10 Entreprise,Tanium Client,1
SABCFUTU101.sabc.cm,"::1
10.100.1.68",Windows Server 2016 Standard,Tanium Client,1
CMRUCT22143.sabc.cm,"fe80::a7a2:d87c:8380:ab6d
10.102.1.194",Windows 10 Entreprise,Tanium Client,1
CMRUCT20083.sabc.cm,"fe80::1465:1d53:f67a:431b
10.98.2.53",Windows 10 Entreprise,Tanium Client,1
CMRUCT21077.sabc.cm,"fe80::3675:b8b6:cab2:a188
10.102.34.24",Windows 10 Entreprise,Tanium Client,1
CMRUCT22053.sabc.cm,"fe80::1d4e:b929:40a6:ec12
10.100.5.48",Windows 11 Entreprise,Tanium Client,1
CMRLPT23034.sabc.cm,"fe80::3123:e504:eae8:f519
10.100.0.115",Windows 10 Entreprise,Tanium Client,1
CMRUCT24147.sabc.cm,"fe80::eb28:eab0:a922:651
10.96.161.38",Windows 10 Entreprise,Tanium Client,1
