#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"Name";"OperatingSystem";"OperatingSystemVersion";"LastLogonDate";"IPv4Address"
"CMRLPT19194";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:46:55";"10.100.0.185"
"CMRLPT19170";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:08:27";"10.100.0.155"
"CMRUCT19224";"Windows 10 Entreprise";"10.0 (19045)";"24/07/2025 15:46:25";
"CMRLPT20002";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 05:59:17";"10.97.224.109"
"CMRUCT19140";"Windows 10 Entreprise";"10.0 (19045)";"25/08/2025 07:09:23";"10.97.92.30"
"CMRLPT20005";"Windows 10 Entreprise";"10.0 (19045)";"16/09/2025 16:22:18";"10.100.0.102"
"CMRUCT19086";"Windows 10 Entreprise";"10.0 (19045)";"22/06/2025 10:25:02";
"CMRLPT19179";"Windows 10 Entreprise";"10.0 (19045)";"23/06/2025 06:47:57";
"CMRUCT19113";"Windows 10 Entreprise";"10.0 (19045)";"11/08/2025 10:15:06";
"CMRUCT19139";"Windows 10 Entreprise";"10.0 (19045)";"13/08/2025 11:41:19";
"CMRUCT19076";"Windows 10 Entreprise";"10.0 (19045)";"30/06/2025 11:02:31";
"CMRUCT19169";"Windows 10 Entreprise";"10.0 (19045)";"01/09/2025 08:44:41";
"CMRLPT20004";"Windows 10 Entreprise";"10.0 (19045)";"12/09/2025 08:50:35";"10.100.0.94"
"CMRLPT19173";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:45:56";"10.100.0.84"
"CMRLPT19169";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 00:40:27";"10.97.225.228"
"CMRUCT19166";"Windows 10 Entreprise";"10.0 (19045)";"10/08/2025 10:40:39";
"CMRUCT20037";"Windows 10 Professionnel";"10.0 (19045)";"22/09/2025 07:22:53";"10.102.34.67"
"CMRLPT19157";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 11:28:16";"10.99.0.24"
"CMRUCT19130";"Windows 10 Entreprise";"10.0 (19045)";"03/09/2025 01:17:35";"10.97.92.5"
"CMRUCT19202";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:21:45";"10.100.5.107"
"CMRLPT19171";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:37:41";
"CMRLPT19163";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 10:23:23";"10.102.8.150"
"CMRLPT19006";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:14:39";"10.100.0.90"
"CMRLPT19155";"Windows 10 Entreprise";"10.0 (19045)";"14/08/2025 09:58:06";
"CMRUCT19134";"Windows 10 Entreprise";"10.0 (19045)";"16/08/2025 13:55:32";
"CMRLPT19002";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 11:16:29";"10.100.0.241"
"CMRLPT19160";"Windows 10 Entreprise";"10.0 (19045)";"23/06/2025 07:45:16";
"CMRLPT19005";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:32:36";"10.100.0.69"
"CMRUCT19207";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:59:26";"10.100.4.54"
"CMRUCT19082";"Windows 10 Entreprise";"10.0 (19045)";"13/03/2025 15:13:02";
"CMRUCT19073";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 14:50:31";"10.102.2.18"
"CMRUCT19090";"Windows 10 Entreprise";"10.0 (19045)";"14/08/2025 10:09:09";
"CMRLPT20062";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 06:42:04";"10.100.0.4"
"CMRLPT19198";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:32:55";"10.102.2.6"
"CMRUCT19102";"Windows 10 Entreprise";"10.0 (19045)";"17/09/2025 15:10:53";"10.102.2.31"
"CMRUCT20013";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:59:29";"10.99.2.54"
"CMRUCT20011";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:17:50";"10.99.2.47"
"CMRUCT19022";"Windows 10 Entreprise";"10.0 (19045)";"27/07/2025 11:58:22";
"CMRUCT20033";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 21:05:31";"10.99.76.34"
"CMRUCT20030";"Windows 10 Entreprise";"10.0 (19045)";"14/09/2025 15:58:25";"10.99.2.91"
"CMRUCT20005";"Windows 10 Entreprise";"10.0 (19045)";"14/09/2025 07:56:42";"10.99.2.43"
"CMRUCT19025";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 09:12:03";"10.102.2.40"
"CMRUCT20014";"Windows 10 Entreprise";"10.0 (19045)";"13/09/2025 11:19:59";"10.99.2.30"
"CMRLPT20064";"Windows 10 Professionnel";"10.0 (19045)";"15/09/2025 07:40:13";"10.102.113.4"
"CMRUCT20049";"Windows 10 Professionnel";"10.0 (19045)";"18/09/2025 08:48:57";"10.100.4.145"
"CMRUCT19256";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 11:36:19";"10.102.2.78"
"CMRLPT20067";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 13:33:22";"10.96.0.33"
"CMRUCT20042";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 06:41:41";"10.100.5.72"
"CMRUCT20046";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 08:18:00";"10.100.4.73"
"CMRUCT20047";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:13:58";"10.100.5.73"
"CMRLPT20071";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:46:11";"10.96.113.33"
"CMRUCT20134";"Windows 10 Entreprise";"10.0 (19045)";"17/09/2025 09:41:06";"10.100.5.85"
"CMRUCT20039";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 11:55:58";"10.102.34.6"
"CMRUCT20043";"Windows 10 Entreprise";"10.0 (19045)";"11/09/2025 08:57:51";"10.100.4.182"
"CMRUCT19246";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 10:15:10";"10.102.2.64"
"CMRUCT20135";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 07:40:44";"10.100.5.56"
"CMRLPT20075";"Windows 10 Professionnel";"10.0 (19045)";"15/09/2025 08:10:38";"10.100.0.176"
"CMRUCT19093";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 11:26:02";"10.102.2.26"
"CMRUCT21067";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 06:59:38";"10.102.2.83"
"CMRUCT19126";"Windows 10 Entreprise";"10.0 (19045)";"28/08/2025 11:14:20";"10.97.224.132"
"CMRUCT19119";"Windows 10 Entreprise";"10.0 (19045)";"16/09/2025 02:45:52";"10.97.224.62"
"CMRUCT20062";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 06:49:09";"10.97.224.104"
"CMRUCT20076";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 11:34:40";"10.97.224.105"
"CMRUCT20052";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 08:15:58";"10.97.224.112"
"CMRUCT20071";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 15:12:42";"10.97.224.7"
"CMRUCT20054";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 21:54:58";"10.97.224.10"
"CMRUCT20058";"Windows 10 Entreprise";"10.0 (19045)";"25/08/2025 06:39:34";"10.97.224.26"
"CMRUCT19006";"Windows 10 Entreprise";"10.0 (19045)";"19/08/2025 06:35:46";
"CMRLPT20027";"Windows 10 Entreprise";"10.0 (19045)";"16/09/2025 10:22:06";"10.102.113.3"
"CMRLPT20025";"Windows 10 Professionnel";"10.0 (19045)";"21/09/2025 10:30:45";"10.97.225.40"
"CMRLPT20028";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 08:42:23";"10.96.0.17"
"CMRLPT20061";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 08:42:23";"10.98.0.45"
"CMRUCT20107";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 08:34:18";"10.96.70.85"
"CMRLPT20078";"Windows 10 Entreprise";"10.0 (19045)";"25/08/2025 07:16:16";"10.96.75.83"
"CMRLPT20015";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 07:45:12";"10.96.75.50"
"CMRLPT20014";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:29:19";"10.96.75.87"
"CMRLPT20010";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 07:40:42";"10.96.0.13"
"CMRLPT19189";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 06:48:47";"10.96.75.72"
"CMRLPT20066";"Windows 10 Entreprise";"10.0 (19045)";"08/09/2025 09:24:50";"10.100.0.226"
"CMRLPT20068";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 06:48:55";"10.96.75.25"
"CMRLPT20011";"Windows 10 Entreprise";"10.0 (19045)";"11/09/2025 08:07:42";"10.99.0.5"
"CMRLPT20022";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 07:54:37";"10.96.0.16"
"CMRLPT20052";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 06:45:16";"10.96.53.163"
"CMRLPT20076";"Windows 10 Entreprise";"10.0 (19045)";"30/08/2025 15:52:44";"10.96.2.132"
"CMRUCT20102";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 09:11:02";"10.96.2.71"
"CMRUCT20100";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 08:06:10";"10.96.2.35"
"CMRLPT20029";"Windows 10 Entreprise";"10.0 (19045)";"29/08/2025 07:36:15";"10.100.0.182"
"CMRUCT20103";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 09:27:35";"10.96.2.75"
"CMRUCT20105";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 12:27:25";"10.96.75.84"
"CMRUCT20124";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 20:02:40";"10.96.0.70"
"CMRLPT19188";"Windows 10 Entreprise";"10.0 (19045)";"03/07/2025 07:19:10";
"CMRLPT20001";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 15:20:44";"10.100.0.20"
"CMRLPT20012";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 11:13:03";"10.96.75.61"
"CMRLPT20017";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:05:01";"10.96.0.8"
"CMRLPT20019";"Windows 10 Entreprise";"10.0 (19045)";"14/09/2025 08:11:09";"10.97.225.177"
"CMRLPT20021";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:33:12";"10.96.113.34"
"CMRLPT20030";"Windows 10 Entreprise";"10.0 (19045)";"14/09/2025 15:58:26";"10.96.75.78"
"CMRLPT20033";"Windows 10 Entreprise";"10.0 (19045)";"29/08/2025 10:40:35";"10.97.225.86"
"CMRLPT20034";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:24:16";"10.97.224.75"
"CMRLPT20035";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:26:25";"10.97.45.161"
"CMRLPT20038";"Windows 10 Entreprise";"10.0 (19045)";"11/09/2025 09:10:32";"10.99.2.23"
"CMRLPT20045";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 06:16:33";"10.100.0.137"
"CMRLPT20047";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 07:53:37";"10.98.0.18"
"CMRLPT20048";"Windows 10 Professionnel";"10.0 (19045)";"15/09/2025 17:52:43";"10.98.0.5"
"CMRLPT20054";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 13:15:28";"10.100.0.99"
"CMRLPT20057";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:34:39";"10.100.0.78"
"CMRLPT20058";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:37:07";"10.100.0.169"
"CMRLPT20069";"Windows 10 Entreprise";"10.0 (19045)";"16/09/2025 14:14:19";"10.100.0.33"
"CMRLPT20070";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 08:08:36";
"CMRLPT20084";"Windows 10 Entreprise";"10.0 (19045)";"21/09/2025 17:26:44";"10.100.0.15"
"CMRLPT20085";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:11:51";"10.100.0.2"
"CMRLPT20096";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 10:46:36";"10.100.4.85"
"CMRLPT20041";"Windows 11 Entreprise";"10.0 (26100)";"15/09/2025 06:45:59";"10.99.0.5"
"CMRLPT20094";"Windows 10 Entreprise";"10.0 (19045)";"21/09/2025 09:22:01";"10.100.0.95"
"CMRLPT20026";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:23:50";"10.102.33.210"
"CMRLPT20040";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 15:45:47";
"CMRLPT20036";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:11:13";"10.99.0.48"
"CMRUCT19019";"Windows 10 Entreprise";"10.0 (19045)";"07/08/2025 10:14:00";
"CMRUCT19227";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:04:07";"10.102.34.38"
"CMRUCT20002";"Windows 10 Entreprise";"10.0 (19045)";"20/09/2025 14:06:23";"10.99.2.46"
"CMRUCT20012";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:36:04";"10.99.2.72"
"CMRUCT20025";"Windows 10 Entreprise";"10.0 (19045)";"21/09/2025 08:57:13";"10.99.28.7"
"CMRUCT20057";"Windows 10 Entreprise";"10.0 (19045)";"20/09/2025 15:55:45";"10.97.44.13"
"CMRUCT20063";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 15:08:44";"10.97.224.172"
"CMRUCT20066";"Windows 10 Entreprise";"10.0 (19045)";"17/09/2025 12:58:01";"10.97.225.23"
"CMRUCT20079";"Windows 10 Entreprise";"10.0 (19045)";"17/09/2025 15:13:12";"10.98.2.35"
"CMRUCT20089";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 08:38:48";"10.98.2.137"
"CMRUCT20094";"Windows 10 Entreprise";"10.0 (19045)";"21/09/2025 09:40:22";"10.98.52.5"
"CMRUCT20095";"Windows 10 Entreprise";"10.0 (19045)";"12/09/2025 21:54:14";"10.98.2.112"
"CMRUCT20123";"Windows 10 Entreprise";"10.0 (19045)";"21/09/2025 08:44:34";"10.96.70.133"
"CMRUCT20125";"Windows 10 Entreprise";"10.0 (19045)";"20/09/2025 09:21:37";"10.96.112.5"
"CMRUCT20145";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 16:59:22";"10.97.88.136"
"CMRUCT20098";"Windows 10 Entreprise";"10.0 (19045)";"21/09/2025 08:07:30";"10.98.2.3"
"CMRUCT19261";"Windows 10 Entreprise";"10.0 (19045)";"08/07/2025 15:51:54";
"CMRUCT20001";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 12:14:42";"10.99.2.52"
"CMRUCT20006";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 08:13:05";"10.99.2.24"
"CMRUCT20078";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 19:38:59";"10.98.2.61"
"CMRUCT20118";"Windows 10 Entreprise";"10.0 (19045)";"31/07/2025 20:57:07";
"CMRUCT20081";"Windows 10 Entreprise";"10.0 (19045)";"20/09/2025 23:36:43";"10.98.2.46"
"CMRUCT19194";"Windows 10 Entreprise";"10.0 (19045)";"13/08/2025 07:25:09";
"CMRUCT19263";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 21:10:40";"10.96.70.69"
"CMRUCT20119";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:21:37";"10.96.28.3"
"CMRUCT20009";"Windows 10 Entreprise";"10.0 (19045)";"17/09/2025 15:09:11";"10.99.2.6"
"CMRUCT20027";"Windows 10 Entreprise";"10.0 (19045)";"20/09/2025 12:31:23";"10.99.2.14"
"CMRUCT20085";"Windows 10 Entreprise";"10.0 (19045)";"17/09/2025 07:58:57";"10.98.2.107"
"CMRUCT20019";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 09:13:13";"10.99.36.3"
"CMRUCT20015";"Windows 10 Entreprise";"10.0 (19045)";"14/09/2025 09:00:34";"10.99.2.25"
"CMRUCT20149";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:53:46";"10.97.88.13"
"CMRUCT20010";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 07:48:04";"10.99.36.24"
"CMRUCT20053";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 03:36:07";"10.97.44.4"
"CMRUCT20060";"Windows 10 Entreprise";"10.0 (19045)";"20/09/2025 07:48:32";"10.97.88.135"
"CMRUCT20084";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:32:24";"10.98.36.4"
"CMRUCT19237";"Windows 10 Entreprise";"10.0 (19045)";"02/08/2025 07:47:21";
"CMRUCT20024";"Windows 10 Entreprise";"10.0 (19045)";"13/09/2025 14:02:49";"10.99.2.33"
"CMRLPT21013";"Windows 10 Entreprise";"10.0 (19045)";"17/09/2025 14:12:35";"10.99.0.29"
"CMRLPT21009";"Windows 10 Entreprise";"10.0 (19045)";"14/09/2025 06:17:25";"10.98.0.27"
"CMRLPT21005";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:17:56";"10.96.113.37"
"CMRLPT20086";"Windows 10 Entreprise";"10.0 (19045)";"18/08/2025 08:04:59";
"CMRUCT20099";"Windows 10 Entreprise";"10.0 (19045)";"20/09/2025 11:11:46";"10.102.2.33"
"CMRLPT21012";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:15:28";"10.100.4.72"
"CMRLPT21011";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 09:49:48";"10.96.70.78"
"CMRUCT21006";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 07:52:30";"10.100.4.20"
"CMRLPT21018";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:29:02";"10.100.0.177"
"CMRLPT21019";"Windows 11 Entreprise";"10.0 (26100)";"21/09/2025 08:50:36";"10.100.0.174"
"CMRUCT21008";"Windows 10 Entreprise";"10.0 (19045)";"14/09/2025 11:58:13";"10.102.112.11"
"CMRUCT21002";"Windows 10 Entreprise";"10.0 (19045)";"15/09/2025 07:49:23";"10.100.5.111"
"CMRUCT21004";"Windows 11 Entreprise";"10.0 (26100)";"18/09/2025 09:54:53";"10.100.0.30"
"CMRUCT21015";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:42:37";"10.102.33.228"
"CMRLPT21036";"Windows 10 Enterprise";"10.0 (19045)";"20/09/2025 08:34:59";"10.100.5.110"
