#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"distinguishedName";"Name";"OperatingSystem";"OperatingSystemVersion";"description";"OperatingSystemServicePack";"IPv4Address";"LastLogonDate";"PasswordLastSet"
"CN=OLEMDOMC001,OU=Domain Controllers,DC=sabc,DC=cm";"OLEMDOMC001";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.97.93.130";;"10.97.93.130";"27/09/2025 13:49:12";
"CN=GARODOMC002,OU=Domain Controllers,DC=sabc,DC=cm";"GARODOMC002";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.99.1.4";;"10.99.1.4";"21/09/2025 20:43:58";
"CN=BAFODOMC002,OU=Domain Controllers,DC=sabc,DC=cm";"BAFODOMC002";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.98.1.4";;"10.98.1.4";"28/09/2025 16:38:30";
"CN=BONADOMC002,OU=Domain Controllers,DC=sabc,DC=cm";"BONADOMC002";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.96.17.4";;"10.96.122.1";"27/09/2025 00:59:18";
"CN=SOCADOMC002,OU=Domain Controllers,DC=sabc,DC=cm";"SOCADOMC002";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.102.1.4";;"10.102.1.4";"26/09/2025 00:32:32";
"CN=SOUADOMC001,OU=Domain Controllers,DC=sabc,DC=cm";"SOUADOMC001";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.99.77.132";;"10.99.77.130";"21/09/2025 09:55:45";
"CN=YAOUDOMC002,OU=Domain Controllers,DC=sabc,DC=cm";"YAOUDOMC002";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.97.1.4";;"10.97.240.40";"25/09/2025 08:27:22";
"CN=SEMCDOMC001,OU=Domain Controllers,DC=sabc,DC=cm";"SEMCDOMC001";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV19-10.102.17.2";;"10.102.122.1";"28/09/2025 18:05:26";
"CN=BALIDOMC005,OU=Domain Controllers,DC=sabc,DC=cm";"BALIDOMC005";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.100.1.29";;"10.100.1.29";"26/09/2025 17:56:21";
"CN=BALIDOMC002,OU=Domain Controllers,DC=sabc,DC=cm";"BALIDOMC002";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.100.1.23";;"10.100.1.23";"26/09/2025 19:19:36";
"CN=BALIDOMC003,OU=Domain Controllers,DC=sabc,DC=cm";"BALIDOMC003";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.100.1.51";;"10.100.1.51";"28/09/2025 19:44:00";
"CN=BALIDOMC004,OU=Domain Controllers,DC=sabc,DC=cm";"BALIDOMC004";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.100.1.26";;"10.100.1.26";"27/09/2025 11:26:16";
"CN=BALIDOMC001,CN=Computers,DC=sabc,DC=cm";"BALIDOMC001";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.100.1.22";;"10.100.1.22";"23/09/2025 00:56:34";
"CN=BALIERP004,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALIERP004";"Windows Server 2016 Standard";"10.0 (14393)";"Serveur d'amdministration-WINSRV16-10.100.1.60";;"10.100.1.60";"29/09/2025 16:30:28";
"CN=SABCTSE101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCTSE101";"Windows Server 2016 Standard";"10.0 (14393)";"Service d'infrastructure-WINSRV16-10.100.1.38";;"10.103.244.46";"28/09/2025 16:20:02";
"CN=SABCTSEL101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCTSEL101";"Windows Server 2016 Standard";"10.0 (14393)";"Service d'infrastructure-WINSRV16-10.100.1.39";;"10.103.240.35";"29/09/2025 09:50:21";
"CN=SABCRADI101,CN=Computers,DC=sabc,DC=cm";"SABCRADI101";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur RADIUS-WINSRV19-10.100.1.70";;"10.100.1.70";"01/10/2025 07:38:17";
"CN=BAFOUSIN001,OU=Serveurs DI,DC=sabc,DC=cm";"BAFOUSIN001";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-BAFOUSIN001";;"10.98.7.130";"01/10/2025 06:35:18";
