Computer Name,IP Address,Operating System,Provider Type,Count
CMRLPT21088.sabc.cm,"fe80::2d2d:c734:36be:3d8
192.168.147.53",Windows 10 Entreprise,Tanium Client,1
CMRUCT25006.sabc.cm,"fe80::4dc9:3853:1376:fff7
10.96.60.14",Windows 10 Entreprise,Tanium Client,1
CMRUCT23237.sabc.cm,"fe80::cae8:ebba:7f04:b76e
10.96.28.13",Windows 10 Entreprise,Tanium Client,1
CMRLPT22080.sabc.cm,"fe80::7d03:7874:9099:25ff
10.102.2.55",Windows 10 Entreprise,Tanium Client,1
BALIGMAO001.sabc.cm,"::1
10.100.1.106",Windows Server 2016 Standard,Tanium Client,1
CMRLPT22055.sabc.cm,"fe80::f5c3:b682:f226:6723
10.102.34.18",Windows 10 Entreprise,Tanium Client,1
CMRLPT23230.sabc.cm,"fe80::dfb8:6c5c:7895:7c3b
10.96.113.27",Windows 10 Entreprise,Tanium Client,1
CMRUCT23084.sabc.cm,"fe80::84c7:5aae:442:afbb
10.96.70.51",Windows 10 Entreprise,Tanium Client,1
CMRLPT21066.sabc.cm,"fe80::c4f:71d:c6d9:b485
192.168.1.103
fd22:ed27:b88d:c000:64a2:7f44:5d0b:468b",Windows 10 Entreprise,Tanium Client,1
CMRLPT22032.sabc.cm,"fe80::70cc:e2c:116a:699c
10.101.1.194",Windows 10 Entreprise,Tanium Client,1
CMRUCT22151.sabc.cm,"fe80::f37c:559:cfb7:e073
10.102.9.132",Windows 10 Entreprise,Tanium Client,1
SABCFUTU101.sabc.cm,"::1
10.100.1.68",Windows Server 2016 Standard,Tanium Client,1
CMRUCT22143.sabc.cm,"fe80::20b:8594:d9f9:5afb
10.102.1.194",Windows 11 Entreprise,Tanium Client,1
CMRUCT20083.sabc.cm,"fe80::1465:1d53:f67a:431b
10.98.2.44",Windows 10 Entreprise,Tanium Client,1
CMRUCT21077.sabc.cm,"fe80::3675:b8b6:cab2:a188
10.102.34.24",Windows 10 Entreprise,Tanium Client,1
CMRUCT22053.sabc.cm,"fe80::1d4e:b929:40a6:ec12
10.100.5.59",Windows 11 Entreprise,Tanium Client,1
CMRLPT23034.sabc.cm,"fe80::3123:e504:eae8:f519
192.168.19.36",Windows 10 Entreprise,Tanium Client,1
CMRUCT24147.sabc.cm,"fe80::eb28:eab0:a922:651
10.96.161.38",Windows 10 Entreprise,Tanium Client,1
CMRUCT23215.sabc.cm,"fe80::286b:9c99:af3b:42f3
10.97.76.11",Windows 10 Entreprise,Tanium Client,1
SABCMYAP101.sabc.cm,"fe80::1829:63ea:f175:a57a
10.100.1.234",Windows Server 2019 Standard,Tanium Client,1
CMRUCT24001.sabc.cm,"fe80::27d:891e:cdbc:ca1b
10.96.70.76",Windows 11 Entreprise,Tanium Client,1
SABCGED105.sabc.cm,"fe80::30cf:6570:8d20:c55
10.100.1.204",Windows Server 2019 Standard,Tanium Client,1
CMRLPT23157.sabc.cm,"fe80::9262:ba3f:d908:66b7
10.97.225.206",Windows 10 Professionnel,Tanium Client,1
CMRLPT23162.sabc.cm,"fe80::2ec3:c9d:478c:6e5b
10.96.0.19",Windows 10 Entreprise,Tanium Client,1
BAFODOMC002.sabc.cm,"fe80::1828:f818:cf4a:1290
10.98.1.4",Windows Server 2019 Standard,Tanium Client,1
CMRLPT19169.sabc.cm,"fe80::3d81:a150:47f7:fdb4
10.97.225.237",Windows 10 Entreprise,Tanium Client,1
CMRUCT25023.sabc.cm,"fe80::e825:792a:7b0e:f266
10.97.225.151",Windows 10 Entreprise,Tanium Client,1
CMRLPT24146.sabc.cm,"fe80::140a:51ee:8dc2:c5f2
10.102.8.64",Windows 10 Entreprise,Tanium Client,1
CMRUCT22056.sabc.cm,"fe80::13d7:d49b:a87:98d1
10.100.5.119",Windows 10 Entreprise,Tanium Client,1
CMRLPT23250.sabc.cm,"fe80::17ed:4e08:6414:51a
10.97.225.218",Windows 10 Entreprise,Tanium Client,1
CMRLPT23306.sabc.cm,"fe80::317f:96d3:bc2:8f93
10.100.0.112",Windows 10 Entreprise,Tanium Client,1
CMRLPT24190.sabc.cm,"fe80::a908:6f3a:804d:4ece
10.99.0.21",Windows 10 Entreprise,Tanium Client,1
CMRLPT22036.sabc.cm,"fe80::71a6:9e03:13b:9cea
10.96.70.117",Windows 10 Entreprise,Tanium Client,1
CMRLPT23219.sabc.cm,"fe80::c1e0:528f:4dcf:e5bd
10.97.81.167",Windows 10 Entreprise,Tanium Client,1
CMRUCT23046.sabc.cm,"fe80::5bd:4aaf:82fe:3374
10.96.2.19",Windows 11 Entreprise,Tanium Client,1
CMRLPT19230.sabc.cm,"fe80::274f:d10f:6ebf:9914
10.102.8.88",Windows 10 Entreprise,Tanium Client,1
CMRLPT23121.sabc.cm,"fe80::61e4:e159:82a8:8a85
fe80::da0c:5a4c:981a:acc3
169.254.2.227
10.97.225.164",Windows 11 Professionnel,Tanium Client,1
YAOUBI101.sabc.cm,"fe80::54e5:1e50:76a8:81b
10.97.246.129",Windows Server 2019 Standard,Tanium Client,1
CMRLPT24127,"fe80::f938:f329:a344:b2fd
10.33.108.107",Windows 11 Entreprise,Tanium Client,1
CMRUCT22030.sabc.cm,"fe80::de3a:f464:48c9:65f4
10.97.224.49",Windows 11 Entreprise,Tanium Client,1
CMRLPT24193.sabc.cm,"fe80::568:bad8:c18:3abf
10.97.225.162",Windows 10 Entreprise,Tanium Client,1
CMRUCT20081.sabc.cm,"fe80::99e7:8aee:58ee:aeb5
10.98.2.46",Windows 10 Entreprise,Tanium Client,1
CMRUCT21131.sabc.cm,"fe80::92e4:ddba:48ff:9b67
10.96.2.3",Windows 10 Entreprise,Tanium Client,1
CMRUCT23306.sabc.cm,"fe80::4299:eb17:c23f:5402
10.99.2.63",Windows 10 Entreprise,Tanium Client,1
BAFOUSIN001.sabc.cm,"fe80::ae7a:e12b:90e1:7556
fe80::2b1c:6b54:1fc4:7134
10.98.7.130
10.253.130.10",Windows Server 2019 Standard,Tanium Client,1
CMRLPT24205.sabc.cm,"fe80::cd07:7cae:50a0:9340
10.100.0.84",Windows 10 Entreprise,Tanium Client,1
CMRLPT21037.sabc.cm,"fe80::a396:afef:211:121c
10.100.0.167",Windows 10 Entreprise,Tanium Client,1
CMRUCT22139.sabc.cm,"fe80::b382:20c:9ff7:8c03
10.102.9.114",Windows 10 Entreprise,Tanium Client,1
CMRLPT24104.sabc.cm,"::1
127.0.0.1",Windows 11 Entreprise,Tanium Client,1
CMRLPT23058.sabc.cm,"fe80::b33a:b1f2:d15f:1392
10.96.75.106",Windows 11 Entreprise,Tanium Client,1
CMRLPT21064.sabc.cm,"fe80::81c:86ba:ede4:3551
10.100.5.48",Windows 11 Entreprise,Tanium Client,1
CMRUCT23119.sabc.cm,"fe80::c6f3:686a:b1f3:10fa
10.98.2.26",Windows 10 Entreprise,Tanium Client,1
CMRUCT21064.sabc.cm,"fe80::281d:d05:ea3b:b445
10.102.34.23",Windows 10 Entreprise,Tanium Client,1
CMRUCT23173.sabc.cm,"fe80::9c07:33a:2ef9:98df
10.102.112.10",Windows 10 Entreprise,Tanium Client,1
CMRUCT23111.sabc.cm,"fe80::233b:16d0:3f27:ad5d
10.99.76.17",Windows 10 Entreprise,Tanium Client,1
CMRLPT23182.sabc.cm,"fe80::ea50:2b08:fb42:1f72
10.102.33.193",Windows 10 Entreprise,Tanium Client,1
CMRLPT23286.sabc.cm,"fe80::7076:874b:15a0:a50d
10.99.0.14",Windows 10 Entreprise,Tanium Client,1
YAOUSIN001.sabc.cm,"fe80::ed04:520:fdfc:5b12
fe80::1bfe:f5dd:5021:a6fc
10.97.7.186
10.253.120.10",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21070.sabc.cm,"fe80::be6b:6f5b:2c20:9f98
10.100.0.210",Windows 11 Entreprise,Tanium Client,1
SABCBO102.sabc.cm,"::1
10.6.42.171
10.103.244.13",Windows Server 2019 Standard,Tanium Client,1
CMRLPT22165.sabc.cm,"fe80::a01d:7e38:3b67:a597
192.168.100.8",Windows 10 Entreprise,Tanium Client,1
SEMCDOMC001.sabc.cm,"::1
10.102.122.1",Windows Server 2019 Standard,Tanium Client,1
CMRLPT23032.sabc.cm,"fe80::6392:792e:77d9:380c
10.100.0.76",Windows 11 Entreprise,Tanium Client,1
CMRUCT22140.sabc.cm,"fe80::694e:56b1:d8b8:981a
10.102.8.168",Windows 10 Entreprise,Tanium Client,1
CMRUCT22075.sabc.cm,"fe80::10c3:21f1:e86f:5cef
10.98.2.32",Windows 10 Entreprise,Tanium Client,1
CMRUCT24109.sabc.cm,"fe80::41bf:5ac1:5b38:326
10.102.8.205",Windows 10 Entreprise,Tanium Client,1
CMRLPT22028.sabc.cm,"fe80::dd55:86d8:e96:5170
10.98.0.68",Windows 10 Professionnel,Tanium Client,1
CMRUCT23290.sabc.cm,"fe80::15d6:4530:a59:f3a1
10.96.161.48",Windows 10 Professionnel,Tanium Client,1
CMRLPT22167.sabc.cm,"fe80::e807:29ed:5afc:31e
10.98.0.21",Windows 10 Entreprise,Tanium Client,1
CMRLPT24192.sabc.cm,"fe80::6508:7b5e:6fd3:4641
10.100.0.186",Windows 11 Entreprise,Tanium Client,1
CMRLPT23262.sabc.cm,"fe80::ca2e:16fa:7d2b:630
10.101.1.195",Windows 10 Entreprise,Tanium Client,1
CMRUCT21053.sabc.cm,"fe80::e5c2:620f:7ea6:7d35
10.102.2.1",Windows 11 Entreprise,Tanium Client,1
CMRUCT23005.sabc.cm,"fe80::3421:60b6:f88b:3900
10.97.224.223",Windows 10 Entreprise,Tanium Client,1
CMRLPT21164.sabc.cm,"fe80::16c4:f3d8:4a89:bfa3
10.102.8.90
fe80::ec2d:5ec:5b5:aae5
10.102.8.115",Windows 11 Entreprise,Tanium Client,1
CMRLPT22065.sabc.cm,"fe80::516b:94a6:2498:1b82
10.98.69.167",Windows 10 Entreprise,Tanium Client,1
CMRUCT20023.sabc.cm,"fe80::c9fd:25ec:9bd1:3dd
10.99.2.16",Windows 10 Entreprise,Tanium Client,1
CMRUCT23036.sabc.cm,"fe80::f07a:eb11:b276:32f1
10.97.44.5",Windows 11 Entreprise,Tanium Client,1
CMRUCT22021.sabc.cm,"fe80::ef14:a61d:1389:ad1f
10.96.2.60",Windows 10 Entreprise,Tanium Client,1
CMRUCT21051.sabc.cm,"fe80::7f31:dd30:e40c:97e1
10.102.2.98",Windows 11 Entreprise,Tanium Client,1
