#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"Name";"OperatingSystem";"OperatingSystemVersion";"LastLogonDate";"IPv4Address"
"CMRLPT19194";"Windows 10 Entreprise";"10.0 (19045)";"29/09/2025 10:25:20";"10.100.0.237"
"CMRLPT19170";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:08:27";"10.100.0.231"
"CMRUCT19224";"Windows 10 Entreprise";"10.0 (19045)";"24/07/2025 15:46:25";
"CMRLPT20002";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 05:59:17";"10.97.225.216"
"CMRUCT19140";"Windows 10 Entreprise";"10.0 (19045)";"25/08/2025 07:09:23";
"CMRLPT20005";"Windows 10 Entreprise";"10.0 (19045)";"29/09/2025 07:11:23";"10.100.0.164"
"CMRUCT19086";"Windows 10 Entreprise";"10.0 (19045)";"22/06/2025 10:25:02";
"CMRLPT19179";"Windows 10 Entreprise";"10.0 (19045)";"23/06/2025 06:47:57";
"CMRUCT19113";"Windows 10 Entreprise";"10.0 (19045)";"11/08/2025 10:15:06";
"CMRUCT19139";"Windows 10 Entreprise";"10.0 (19045)";"13/08/2025 11:41:19";
"CMRUCT19076";"Windows 10 Entreprise";"10.0 (19045)";"30/06/2025 11:02:31";
"CMRUCT19169";"Windows 10 Entreprise";"10.0 (19045)";"01/09/2025 08:44:41";
"CMRLPT20004";"Windows 11 Entreprise";"10.0 (26100)";"24/09/2025 08:14:20";"10.100.0.116"
"CMRLPT19173";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:45:56";"10.100.0.84"
"CMRLPT19169";"Windows 10 Entreprise";"10.0 (19045)";"19/09/2025 00:40:27";"10.97.225.237"
"CMRUCT19166";"Windows 10 Entreprise";"10.0 (19045)";"10/08/2025 10:40:39";
"CMRUCT20037";"Windows 10 Professionnel";"10.0 (19045)";"22/09/2025 07:22:53";"10.102.34.9"
"CMRLPT19157";"Windows 10 Entreprise";"10.0 (19045)";"29/09/2025 11:45:13";"10.100.0.17"
"CMRUCT19130";"Windows 10 Entreprise";"10.0 (19045)";"03/09/2025 01:17:35";
"CMRUCT19202";"Windows 10 Entreprise";"10.0 (19045)";"29/09/2025 07:20:15";"10.100.5.107"
"CMRLPT19171";"Windows 10 Entreprise";"10.0 (19045)";"18/09/2025 08:37:41";"10.97.225.3"
"CMRLPT19163";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 10:23:23";"10.102.8.92"
"CMRLPT19006";"Windows 10 Entreprise";"10.0 (19045)";"29/09/2025 07:10:27";"10.100.0.90"
"CMRLPT19155";"Windows 10 Entreprise";"10.0 (19045)";"14/08/2025 09:58:06";
"CMRUCT19134";"Windows 10 Entreprise";"10.0 (19045)";"16/08/2025 13:55:32";
"CMRLPT19002";"Windows 10 Entreprise";"10.0 (19045)";"29/09/2025 07:47:46";"10.100.0.139"
"CMRLPT19160";"Windows 10 Entreprise";"10.0 (19045)";"23/06/2025 07:45:16";
"CMRLPT19005";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:32:36";"10.100.0.67"
"CMRUCT19207";"Windows 10 Entreprise";"10.0 (19045)";"25/09/2025 08:11:59";"10.100.4.54"
"CMRUCT19082";"Windows 10 Entreprise";"10.0 (19045)";"13/03/2025 15:13:02";
"CMRUCT19073";"Windows 10 Entreprise";"10.0 (19045)";"25/09/2025 15:45:54";"10.102.8.190"
"CMRUCT19090";"Windows 10 Entreprise";"10.0 (19045)";"14/08/2025 10:09:09";
"CMRLPT20062";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 06:42:04";"10.96.0.5"
"CMRLPT19198";"Windows 10 Entreprise";"10.0 (19045)";"25/09/2025 08:23:52";"10.102.2.6"
"CMRUCT19102";"Windows 10 Entreprise";"10.0 (19045)";"27/09/2025 15:16:33";"10.102.2.31"
"CMRUCT20013";"Windows 10 Entreprise";"10.0 (19045)";"25/09/2025 08:00:12";"10.99.2.54"
"CMRUCT20011";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 07:17:50";"10.99.2.77"
"CMRUCT19022";"Windows 10 Entreprise";"10.0 (19045)";"27/07/2025 11:58:22";
"CMRUCT20033";"Windows 10 Entreprise";"10.0 (19045)";"22/09/2025 21:05:31";"10.99.76.34"
"CMRUCT20030";"Windows 10 Entreprise";"10.0 (19045)";"24/09/2025 17:05:01";"10.99.2.91"
"CMRUCT20005";"Windows 10 Entreprise";"10.0 (19045)";"24/09/2025 08:33:26";"10.99.2.43"
