Hostname,IP address history,OS version,Manufacturer,Last seen
00-00-5E-00-01-01,143.105.152.1,,"ICANN, IANA Department",2025-09-30T08:00:00Z
00-02-E7-0A-5E-DA,10.99.2.81,,CAB GmbH & Co KG,2025-10-01T07:00:00Z
00-02-E7-0A-69-36,10.102.2.24,,CAB GmbH & Co KG,2025-10-01T07:00:00Z
00-03-27-08-3A-28,10.98.7.131,,Act'L,2025-10-01T07:00:00Z
00-03-27-11-54-75,10.97.7.149,,Act'L,2025-10-01T07:00:00Z
00-05-6A-03-1E-3A,10.253.120.32,,Heuft Systemtechnik GmbH,2025-10-01T06:00:00Z
00-05-6A-03-1E-ED,10.253.120.224,,Heuft Systemtechnik GmbH,2025-10-01T06:00:00Z
00-05-6A-03-1E-EE,10.253.120.228,,Heuft Systemtechnik GmbH,2025-10-01T06:00:00Z
00-09-0F-09-0B-1D,"10.100.236.254, 10.237.249.1",,Fortinet Inc.,2025-10-01T06:00:00Z
00-09-0F-AA-00-02,"192.168.100.24, 192.168.100.18, 192.168.100.28, 192.168.100.21, 192.168.100.33, 192.168.100.19, 192.168.100.23, 192.168.43.250, 192.168.100.17, 192.168.100.16, 192.168.100.15, 192.168.100.12, 192.168.100.8, 192.168.100.9, 192.168.100.11, 192.168.100.14, 192.168.100.10, 192.168.100.13, 192.168.100.4, 192.168.100.6, 192.168.100.7, 192.168.100.3, 169.254.169.254, 192.168.100.2, 192.168.100.5",,Fortinet Inc.,2025-10-01T07:00:00Z
00-0A-59-04-83-AC,10.99.1.26,,HW server,2025-09-30T10:00:00Z
00-0A-59-04-83-DD,10.99.77.156,,HW server,2025-09-30T12:00:00Z
00-0A-59-04-83-E9,10.98.1.26,,HW server,2025-10-01T07:00:00Z
00-0A-59-04-84-14,10.96.1.26,,HW server,2025-09-30T10:00:00Z
00-0A-59-04-8C-FA,10.102.33.26,,HW server,2025-10-01T05:00:00Z
00-0A-59-04-8D-1D,10.97.93.156,,HW server,2025-09-30T10:00:00Z
00-0A-59-04-8D-21,10.102.1.26,,HW server,2025-09-30T17:00:00Z
00-0A-F7-D9-BE-CF,10.100.1.210,,Broadcom,2025-10-01T07:00:00Z
00-0B-84-15-65-41,10.99.3.248,,Bodet,2025-09-30T14:00:00Z
00-0B-84-15-65-48,10.99.76.231,,Bodet,2025-09-30T16:00:00Z
00-0B-84-15-65-A0,10.98.3.231,,Bodet,2025-09-30T16:00:00Z
00-0C-29-07-F6-BA,"10.97.0.125, 10.97.241.23",,"VMware, Inc.",2025-10-01T07:00:00Z
